Rank,Team,PR,PASS,QB,OL,DEF,PRESS,QB_Name,QB_ID,Uncertainty,SkillKnown,SkillN,OLKnown,OLN,DEFKnown,DEFN,FrontKnown,FrontN
1,SEA,3.948322842,0.085160216,0.086560959,0.076204520,0.265817586,0.083569038,Sam Darnold,00-0034869,Low,3,4,5,5,12,12,5,5
2,NE,3.871521239,0.192418610,0.177625828,0.076750110,0.030441766,-0.085496196,Drake Maye,00-0039851,Low,4,4,5,5,12,12,5,5
3,LA,3.684172379,0.140589828,0.113774569,0.182030842,0.017175880,0.173259910,Matthew Stafford,00-0026498,Low,3,3,5,5,11,12,4,5
4,PHI,2.938540683,0.059744991,0.052488607,0.149207198,0.151938187,-0.007444987,Jalen Hurts,00-0036389,Low,3,3,5,5,11,12,4,5
5,DEN,2.696207971,0.050821765,0.048280301,0.095461132,0.132580769,0.319570713,Bo Nix,00-0039732,Low,3,3,5,5,12,12,5,5
6,BUF,2.475778774,0.053711856,0.033102110,0.254038582,0.033032240,-0.016365093,Josh Allen,00-0034857,Low,3,3,5,5,12,12,5,5
7,HOU,2.387022281,0.081487858,0.077225441,-0.035732453,0.161770548,-0.051466053,C.J. Stroud,00-0039163,Medium,3,3,4,5,12,12,7,7
8,GB,2.289657760,0.143527734,0.119657225,0.052201575,-0.078468403,0.117991662,Jordan Love,00-0036264,Low,3,3,5,5,11,12,5,5
9,JAX,1.844518989,0.073561649,0.058302356,0.014343438,0.066098658,0.000206086,Trevor Lawrence,00-0036971,Medium,3,3,4,5,12,12,7,7
10,SF,1.713982032,0.105989473,0.096625331,0.157170601,-0.120094810,-0.034342032,Brock Purdy,00-0037834,Low,4,4,5,5,11,12,6,7
11,DET,1.555940038,0.095497504,0.077713587,-0.022895450,0.002209838,0.003111796,Jared Goff,00-0033106,Medium,3,3,4,5,11,12,7,7
12,MIA,1.485638379,0.107262605,0.165582727,0.022310455,-0.057522415,-0.055588540,Malik Willis,00-0038128,Medium,3,4,4,5,10,12,6,7
13,PIT,1.306402781,-0.013798185,0.005083713,0.274258038,0.018226617,-0.009811085,Aaron Rodgers,00-0023459,Low,3,4,5,5,12,12,5,5
14,DAL,0.794341018,0.084204298,0.070572829,0.090025739,-0.170637458,0.145139366,Dak Prescott,00-0033077,Low,4,4,5,5,11,12,5,5
15,TB,0.730950430,0.010172657,0.004147112,0.243720318,-0.082763746,-0.083579246,Baker Mayfield,00-0034855,Low,3,3,5,5,10,12,4,5
16,CIN,0.717152863,0.017243721,0.052814630,0.142740382,-0.050610595,0.057833961,Joe Burrow,00-0036442,Low,3,3,5,5,12,12,7,7
17,ATL,0.524767975,0.019256163,0.022721464,-0.002279059,0.032326058,-0.038436899,Tua Tagovailoa,00-0036212,Low,3,3,5,5,12,12,5,5
18,BAL,0.440204226,0.057406207,0.043395768,-0.001514048,-0.050569140,-0.163279222,Lamar Jackson,00-0034796,Medium,3,3,4,5,12,12,5,5
19,IND,0.200634617,0.024509351,0.030926959,0.116327369,-0.101781599,-0.061222200,Daniel Jones,00-0035710,Low,3,3,5,5,10,12,6,7
20,MIN,0.183634984,-0.014618494,0.031809487,-0.139475596,0.139069675,0.112994310,Kyler Murray,00-0035228,Low,3,4,5,5,10,12,4,5
21,CHI,0.057571130,0.026313718,0.023417564,-0.019447098,-0.026838400,-0.094105633,Caleb Williams,00-0039918,Low,3,3,5,5,11,12,7,7
22,LAC,-0.030224325,0.008901047,0.020990378,-0.079981679,0.025140101,0.039841378,Justin Herbert,00-0036355,Medium,4,4,4,5,12,12,5,5
23,KC,-0.087278383,0.013287803,0.029196323,-0.016389297,-0.024526923,-0.047611262,Patrick Mahomes,00-0033873,Medium,3,3,4,5,10,12,7,7
24,NO,-0.273910637,-0.038845124,-0.031350733,0.077178633,-0.010905835,0.079554454,Tyler Shough,00-0040743,Low,3,3,5,5,12,12,5,5
25,WAS,-0.697945400,-0.035406766,-0.023125234,0.131996249,-0.095390748,-0.050911160,Jayden Daniels,00-0039910,Low,3,3,5,5,11,12,5,5
26,NYG,-1.033416719,-0.014729501,-0.025186139,-0.084486835,-0.061632909,0.117908523,Jaxson Dart,00-0040691,Medium,4,4,4,5,11,12,5,5
27,LV,-1.679825914,-0.069252322,0.013698122,-0.028536204,-0.029730091,-0.106656778,Kirk Cousins,00-0029604,Low,4,4,5,5,12,12,5,5
28,CAR,-1.708786640,-0.048013589,-0.017742997,-0.023047560,-0.078226061,-0.166878681,Bryce Young,00-0039150,Medium,3,3,4,5,11,12,4,5
29,CLE,-2.083978624,-0.111051014,-0.072003240,-0.096582325,0.029636957,0.114670622,Deshaun Watson,00-0033537,Medium,4,4,4,5,12,12,7,7
30,TEN,-2.335012051,-0.025403655,0.020736016,-0.142103903,-0.155796508,0.008119096,Cam Ward,00-0040676,Medium,2,3,4,5,12,12,7,7
31,ARI,-2.396776962,-0.040657204,-0.044362871,-0.008787957,-0.197622122,-0.161143337,Jacoby Brissett,00-0033119,Low,2,3,5,5,12,12,7,7
32,NYJ,-5.112084472,-0.161827313,-0.071748554,-0.104956273,-0.212448426,-0.168136187,Geno Smith,00-0030565,Low,4,4,5,5,12,12,7,7
